# Simplified Chinese -> kana dictionary for lip-sync.
# Format:
#   <text><space><kana>
# Multi-character entries are supported and will use longest-match first.

你好 にいはお
您好 にんはお
大家好 たいかはお
早上好 さおさんはお
上午好 さんうはお
中午好 ちんうはお
下午好 しあうはお
晚上好 わんさんはお
晚安 わんあん
再见 さいちえん
回头见 ふいとうちえん
欢迎回来 ふあんいんふいらい
欢迎光临 ふあんいんくあんりん
谢谢 しえしえ
谢谢你 しえしえに
谢谢大家 しえしえたいか
不客气 ふうかち
对不起 といふうち
没关系 めいくあんしい
不好意思 ふうはおいしい
请问 ちんうえん
没问题 めいうえんてい
可以 かいい
不可以 ふうかいい
没事 めいし
等一下 てんいしあ
等我 てんを
我来了 をらいら
我爱你 をあいに
喜欢你 しいふあんに
我喜欢你 をしいふあんに
主人 ちうりん
老公 らおこん
老婆 らおほ
宝贝 はおへい
可爱 かあい
漂亮 ひあおりあん
开心 かいしん
难过 なんくお
生气 せんち
放心 ふあんしん
真的 ちんて
当然 たんらん
可能 かのん
应该 いんかい
希望 しいわん
需要 しいやお
想要 しあんやお
因为 いんうえい
所以 すおい
如果 るうくお
但是 たんし
然后 らんほう
现在 しえんさい
今天 ちんてん
明天 みんてん
昨天 つおてん
告诉我 かおすうを
帮助我 はんちうを
帮帮我 はんはんを
吃饭 ちふあん
喝水 はしえい
睡觉 しえいちあお
工作 こんつお
学习 しえし
准备 ちうんへい
开始 かいし
结束 ちえしう
回家 ふいちあ
出发 ちうふあ
到了 たおら
加油 ちあよう
辛苦了 しんくうら
别担心 ひえたんしん
好久不见 はおちうふうちえん
请坐 ちんつお
慢一点 まんいいてん
听我说 てんをしうお
看这里 かんちえり
爱你 あいに

你 に
您 にん
我 を
他 た
她 た
它 た
们 めん
的 て
了 ら
是 し
不 ふ
没 めい
有 よう
在 さい
这 ちえ
那 な
个 か
人 りん
大 たい
小 しあお
中 ちん
国 くお
文 うえん
语 ゆい
音 いん
乐 ら
话 ふあ
说 しうお
听 てん
看 かん
想 しあん
要 やお
会 ふい
能 のん
可 か
行 しん
好 はお
坏 ふあい
真 ちん
太 たい
很 へん
都 とう
也 いえ
再 さい
见 ちえん
谢 しえ
请 ちん
问 うえん
对 とい
起 ち
关 くあん
系 しい
等 てん
现 しえん
今 ちん
天 てん
明 みん
昨 つお
因 いん
为 うえい
所 すお
以 い
如 るう
果 くお
但 たん
后 ほう
喜 し
欢 ふあん
知 ち
道 たお
告 かお
诉 すう
帮 はん
助 ちう
回 ふい
来 らい
家 ちあ
出 ちう
发 ふあ
到 たお
吃 ち
喝 は
睡 しえい
觉 ちあお
工 こん
作 つお
学 しえ
习 し
开 かい
始 し
结 ちえ
束 しう
主 ちう
老 らお
公 こん
婆 ほ
宝 はお
贝 へい
猫 まお
狗 こう
花 ふあ
水 しえい
火 ほ
风 ふおん
雨 ゆい
雪 しえ
山 さん
海 はい
爱 あい
心 しん
手 しおう
眼 いえん
耳 ある
口 こう
头 とう
身 しん
子 つ
男 なん
女 にい
朋 ほん
友 よう
饭 ふあん
茶 ちあ
酒 ちおう
衣 い
服 ふう
书 しう
车 ちあ
门 めん
路 るう
远 ゆあん
近 ちん
高 かお
低 てい
新 しん
旧 ちう
多 とう
少 しあお
先 しえん
左 つお
右 よう
红 ほん
蓝 らん
白 はい
黑 へい
黄 ふあん
绿 りう
的 て
地 て
得 て
吗 ま
呢 ね
吧 は
啊 あ
呀 や
哦 お
嗯 うん
嘛 ま
啦 ら
哇 わ
哪 な
谁 しえい
啥 しあ
着 ちえ
过 くお
把 は
给 けい
跟 けん
和 は
与 ゆい
于 ゆい
从 つおん
向 しあん
往 わん
朝 ちあお
被 へい
让 らん
将 ちあん
每 めい
还 はい
都 とう
再 さい
已 い
经 ちん
总 つおん
最 つい
比 ひ
边 ひえん
内 ねい
外 わい
前 ちえん
旁 はん
左 つお
右 よう
东 とう
西 しい
南 なん
北 へい
上 さん
下 しあ
前 ちえん
后 ほう
里 り
外 わい
年 にえん
月 ゆえ
日 り
时 し
分 ふん
秒 みあお
点 てん
号 はお
早 つあお
午 うう
晚 わん
春 ちうん
夏 しあ
秋 ちう
冬 とう
云 ゆん
空 こん
星 しん
阳 いあん
阴 いん
冰 ひん
凉 りあん
暖 ぬあん
暗 あん
静 ちん
吵 ちあお
忙 まん
累 るえい
饿 お
饱 はお
甜 ていえん
苦 くう
酸 すあん
辣 ら
香 しあん
脸 りえん
鼻 ひ
脚 ちあお
腿 とえい
体 てい
桌 ちお
椅 い
床 ちうあん
房 ふあん
屋 うう
校 しあお
店 てん
钱 ちえん
包 はお
袋 たい
笔 ひ
纸 ち
灯 てん
窗 ちうあん
鞋 しえ
裤 くう
裙 ちうん
帽 まお
歌 く
舞 うう
球 ちう
网 わん
花 ふあ
草 つあお
树 しう
叶 いえ
鸟 にあお
鱼 ゆい
肉 ろう
菜 つあい
米 みい
面 みえん
汤 たん
茶 ちあ
糖 たん
盐 いえん
油 よう
米饭 みいふあん
面包 みえんはお
牛奶 にうない
咖啡 かふえい
可乐 から
果汁 くおち
开水 かいしえい
热水 らしえい
中国 ちんくお
中文 ちんうえん
汉字 はんつ
日语 りゆい
假名 ちあみん
口型 こうしん
模型 もうしん
动作 とんつお
场景 ちあんちん
声音 せんいん
说话 しうおふあ
聊天 りあおていえん
唱歌 ちあんく
跳舞 ていあおうう
微笑 うえいしあお
高兴 かおしん
伤心 しあんしん
紧张 ちんちあん
害怕 はいは
讨厌 たおいえん
温柔 うえんろう
安静 あんちん
热闹 らなお
起床 ちちうあん
洗澡 しいつあお
刷牙 しあや
洗脸 しいりえん
吃饭 ちふあん
喝茶 はちあ
出去 ちうちい
进来 ちんらい
回来 ふいらい
上来 さんらい
下来 しあらい
开门 かいめん
关门 くあんめん
睡着 しえいちえ
醒来 しんらい
知道 ちたお
认识 りんし
觉得 ちえて
因为 いんうえい
所以 すおい
如果 るうくお
但是 たんし
然后 らんほう
以后 いほう
以前 いちえん
现在 しえんさい
刚才 かんつあい
一起 いち
已经 いちん
马上 まさん
等等 てんてん
不用 ふうよん
不用谢 ふうよんしえ
没事了 めいしら
听我说 てんをしうお
看这里 かんちえり
告诉你 かおすうに
帮我吧 はんをは
别担心 ひえたんしん
没问题 めいうえんてい
没关系 めいくあんしい
手机 しおうち
电脑 ていえんなお
电话 ていえんふあ
朋友 ほんよう
老师 らおし
学生 しえせん
医生 いせん
医院 いいゆえん
小姐姐 しあおちえちえ
小哥哥 しあおくく
男孩 なんはい
女孩 にいはい
